cohort,course,id
'September 2020','Chapter 01',35
'September 2020','Chapter 02',36
'September 2020','Chapter 03',37
'September 2020','Chapter 04',38
'September 2020','Chapter 05',39
'September 2020','Chapter 06',40
'September 2020','Chapter 07',41
'September 2020','Chapter 08',42
'September 2020','Chapter 09',43
'September 2020','Chapter 10',44
'September 2020','Chapter 11',45
'September 2020','Chapter 12',46
'September 2020','Chapter 13',47
'September 2020','Chapter 14',48
'October 2020','Chapter 01',55
'October 2020','Chapter 02',56
'October 2020','Chapter 03',57
'October 2020','Chapter 04',58
'October 2020','Chapter 05',59
'October 2020','Chapter 06',60
'October 2020','Chapter 07',61
'October 2020','Chapter 08',62
'October 2020','Chapter 09',63
'October 2020','Chapter 10',64
'October 2020','Chapter 11',65
'October 2020','Chapter 12',66
'October 2020','Chapter 13',67
'October 2020','Chapter 14',68
'November 2020','Chapter 01',73
'November 2020','Chapter 02',74
'November 2020','Chapter 03',75
'November 2020','Chapter 04',76
'November 2020','Chapter 05',77
'November 2020','Chapter 06',78
'November 2020','Chapter 07',79
'November 2020','Chapter 08',80
'November 2020','Chapter 09',81
'November 2020','Chapter 10',82
'November 2020','Chapter 11',83
'November 2020','Chapter 12',84
'November 2020','Chapter 13',85
'November 2020','Chapter 14',86
'December 2020','Chapter 01',88
'December 2020','Chapter 02',89
'December 2020','Chapter 03',90
'December 2020','Chapter 04',91
'December 2020','Chapter 05',92
'December 2020','Chapter 06',93
'December 2020','Chapter 07',94
'December 2020','Chapter 08',95
'December 2020','Chapter 09',96
'December 2020','Chapter 10',97
'December 2020','Chapter 11',98
'December 2020','Chapter 12',99
'December 2020','Chapter 13',100
'December 2020','Chapter 14',101
'January 2021','Chapter 01',111
'January 2021','Chapter 02',112
'January 2021','Chapter 03',113
'January 2021','Chapter 04',114
'January 2021','Chapter 05',115
'January 2021','Chapter 06',116
'January 2021','Chapter 07',117
'January 2021','Chapter 08',118
'January 2021','Chapter 09',119
'January 2021','Chapter 10',102
'January 2021','Chapter 11',103
'January 2021','Chapter 12',104
'January 2021','Chapter 13',105
'January 2021','Chapter 14',106
'February 2021','Chapter 01',123
'February 2021','Chapter 02',124
'February 2021','Chapter 03',125
'February 2021','Chapter 04',126
'February 2021','Chapter 05',127
'February 2021','Chapter 06',128
'February 2021','Chapter 07',129
'February 2021','Chapter 08',130
'February 2021','Chapter 09',131
'February 2021','Chapter 10',132
'February 2021','Chapter 11',133
'February 2021','Chapter 12',134
'February 2021','Chapter 13',135
'February 2021','Chapter 14',136
March 2021','Chapter 01',141
March 2021','Chapter 02',142
March 2021','Chapter 03',143
March 2021','Chapter 04',144
March 2021','Chapter 05',145
March 2021','Chapter 06',146
March 2021','Chapter 07',147
March 2021','Chapter 08',148
March 2021','Chapter 09',149
March 2021','Chapter 10',150
March 2021','Chapter 11',151
March 2021','Chapter 12',152
March 2021','Chapter 13',153
March 2021','Chapter 14',154
April 2021','Chapter 01',159
April 2021','Chapter 02',160
April 2021','Chapter 03',161
April 2021','Chapter 04',162
April 2021','Chapter 05',163
April 2021','Chapter 06',164
April 2021','Chapter 07',165
April 2021','Chapter 08',166
April 2021','Chapter 09',167
April 2021','Chapter 10',168
April 2021','Chapter 11',169
April 2021','Chapter 12',170
April 2021','Chapter 13',171
April 2021','Chapter 14',172
May 2021','Chapter 01',177
May 2021','Chapter 02',178
May 2021','Chapter 03',179
May 2021','Chapter 04',180
May 2021','Chapter 05',181
May 2021','Chapter 06',182
May 2021','Chapter 07',183
May 2021','Chapter 08',184
May 2021','Chapter 09',185
May 2021','Chapter 10',186
May 2021','Chapter 11',187
May 2021','Chapter 12',188
May 2021','Chapter 13',189
May 2021','Chapter 14',190
June 2021,Chapter 1,195
June 2021,Chapter 2,196
June 2021,Chapter 3,197
June 2021,Chapter 4,198
June 2021,Chapter 5,199
June 2021,Chapter 6,200
June 2021,Chapter 7,201
June 2021,Chapter 8,202
June 2021,Chapter 9,203
June 2021,Chapter 10,204
June 2021,Chapter 11,205
June 2021,Chapter 12,206
June 2021,Chapter 13,207
June 2021,Chapter 14,208
July 2021,Chapter 1,212
July 2021,Chapter 2,213
July 2021,Chapter 3,214
July 2021,Chapter 4,215
July 2021,Chapter 5,216
July 2021,Chapter 6,217
July 2021,Chapter 7,218
July 2021,Chapter 8,219
July 2021,Chapter 9,220
July 2021,Chapter 10,221
July 2021,Chapter 11,222
July 2021,Chapter 12,223
July 2021,Chapter 13,224
July 2021,Chapter 14,225
August 2021,Chapter 1,229
August 2021,Chapter 2,230
August 2021,Chapter 3,231
August 2021,Chapter 4,232
August 2021,Chapter 5,233
August 2021,Chapter 6,234
August 2021,Chapter 7,235
August 2021,Chapter 8,236
August 2021,Chapter 9,237
August 2021,Chapter 10,238
August 2021,Chapter 11,239
August 2021,Chapter 12,240
August 2021,Chapter 13,241
August 2021,Chapter 14,242
